"Timestamp","Age","Shoe Size","How long have you been running? (number of years)","How many pairs of running shoes do you currently own?","How many pairs of running shoes are in your current rotation?","What brands are represented in your collection and how many pairs do you have for those brands? [Adidas]","What brands are represented in your collection and how many pairs do you have for those brands? [Altra]","What brands are represented in your collection and how many pairs do you have for those brands? [Asics]","What brands are represented in your collection and how many pairs do you have for those brands? [Brooks]","What brands are represented in your collection and how many pairs do you have for those brands? [Hoka]","What brands are represented in your collection and how many pairs do you have for those brands? [Mizuno]","What brands are represented in your collection and how many pairs do you have for those brands? [New Balance]","What brands are represented in your collection and how many pairs do you have for those brands? [Newton]","What brands are represented in your collection and how many pairs do you have for those brands? [Nike]","What brands are represented in your collection and how many pairs do you have for those brands? [On]","What brands are represented in your collection and how many pairs do you have for those brands? [Salming]","What brands are represented in your collection and how many pairs do you have for those brands? [Saucony]","What brands are represented in your collection and how many pairs do you have for those brands? [Skechers]","What brands are represented in your collection and how many pairs do you have for those brands? [Other]","Do you participate in races?","If yes, what distance do you race most often?","On average, how many miles per week do you run?"
"2019/04/17 1:50:00 PM MDT","49","9.5 W","15","8","6","2 pairs","1 pair","","","3 pairs","","","","1 pair","","","","1 pair","","Yes","Marathon","30"
"2019/04/17 1:50:33 PM MDT","55","13.5 M","8","17","6","","1 pair","","2 pairs","1 pair","","1 pair","4 pairs","4 pairs","2 pairs","","2 pairs","","","Yes","10K","30"
"2019/04/17 1:51:17 PM MDT","34","9 W","8","50","35","","","","9 pairs","1 pair","4 pairs","6 pairs","","4 pairs","","","3 pairs","2 pairs","9 pairs","Yes","5K","40"
"2019/04/17 1:52:25 PM MDT","64","12 M","42","30","5","","","","","3 pairs","1 pair","1 pair","","10 or more pairs","","1 pair","","","","No","","60"
"2019/04/17 1:53:41 PM MDT","24","8 M","10","8","3","","","","","","","","","8 pairs","","","","","","Yes","Half marathon","6"
"2019/04/17 1:54:54 PM MDT","38","8.5 W","23 ","10","4","1 pair","","","2 pairs","3 pairs","","","","","","","3 pairs","","1 pair","Yes","5","80"
"2019/04/17 1:54:57 PM MDT","34","10.5 M","7","50","7","","","1 pair","3 pairs","10 or more pairs","2 pairs","3 pairs","2 pairs","8 pairs","8 pairs","","1 pair","","4 pairs","Yes","13.1 Miles","30"
"2019/04/17 1:55:08 PM MDT","23","10 M","3","19","5","1 pair","","4 pairs","","","","5 pairs","","9 pairs","","","","","","Yes","half marathon","45"
"2019/04/17 1:56:50 PM MDT","32","9 W","8","6","4","","1 pair","","","","","","","4 pairs","","","","1 pair","","Yes","marathon","50"
"2019/04/17 1:57:47 PM MDT","42","8.5 W","30","22","10","2 pairs","","","","2 pairs","","1 pair","","6 pairs","","","2 pairs","","10 or more pairs","Yes","50-70 km","40"
"2019/04/17 1:58:14 PM MDT","39","14 M","10","10","5","1 pair","1 pair","","","","","3 pairs","","","","","1 pair","3 pairs","","Yes","5k","60"
"2019/04/17 1:58:14 PM MDT","38","10 M","5","10","5","1 pair","","","","","","","","3 pairs","1 pair","","3 pairs","1 pair","","Yes","Marathon","45"
"2019/04/17 2:00:00 PM MDT","48","14 M","30","15","8","","","","2 pairs","","","7 pairs","","1 pair","","","","","5 pairs","Yes","10k","60"
"2019/04/17 2:00:44 PM MDT","30","10.5 M","17","6","4","","","","","","","","","1 pair","","","5 pairs","","","Yes","5k","70"
"2019/04/17 2:01:08 PM MDT","51","10 M","5","3","2","","","","","1 pair","","","","","","","","2 pairs","","Yes","5k","20"
"2019/04/17 2:02:00 PM MDT","53","8 W","20","2","2","","","","","","","","","","","","","2 pairs","","No","","24"
"2019/04/17 2:02:40 PM MDT","30","12 M","6","25","5","2 pairs","","","2 pairs","1 pair","","2 pairs","","10 or more pairs","7 pairs","","7 pairs","9 pairs","","Yes","26.2","75"
